Date,Daily PnL,SL,Initial Target,Final Target
2022-03-10,-1882.5,-15769.14,-14218.62,7488.75
2022-03-17,5707.5,-15769.14,-14218.62,7488.75
2022-03-24,4620.0,-15769.14,-14218.62,7488.75
2022-03-31,2602.5,-15769.14,-14218.62,7488.75
2022-04-07,-3172.5,-15769.14,-14218.62,7488.75
2022-04-13,4020.0,-15769.14,-14218.62,7488.75
2022-04-21,667.5,-15769.14,-14218.62,7488.75
2022-04-28,888.75,-15769.14,-14218.62,7488.75
2022-05-05,-1383.75,-15769.14,-14218.62,7488.75
2022-05-12,-757.5,-15769.14,-14218.62,7488.75
2022-05-19,1398.75,-15769.14,-14218.62,7488.75
2022-05-26,-2535.0,-15769.14,-14218.62,7488.75
2022-06-02,4372.5,-15769.14,-14218.62,7488.75
2022-06-09,-2962.5,-15769.14,-14218.62,7488.75
2022-06-16,761.25,-15769.14,-14218.62,7488.75
2022-06-23,-7350.0,-15769.14,-14218.62,7488.75
2022-06-30,7290.0,-15769.14,-14218.62,7488.75
2022-07-07,2917.5,-15769.14,-14218.62,7488.75
2022-07-14,622.5,-15769.14,-14218.62,7488.75
2022-07-21,1102.5,-15769.14,-14218.62,7488.75
2022-07-28,2238.75,-15769.14,-14218.62,7488.75
2022-08-04,-1653.75,-15769.14,-14218.62,7488.75
2022-08-11,4098.75,-15769.14,-14218.62,7488.75
2022-08-18,105.0,-15769.14,-14218.62,7488.75
2022-08-25,-4833.75,-15769.14,-14218.62,7488.75
2022-09-01,7421.25,-15769.14,-14218.62,7488.75
2022-09-08,1192.5,-15769.14,-14218.62,7488.75
2022-09-15,390.0,-15769.14,-14218.62,7488.75
2022-09-22,-922.5,-15769.14,-14218.62,7488.75
2022-09-29,2801.25,-15769.14,-14218.62,7488.75
2022-10-06,-56.25,-15769.14,-14218.62,7488.75
2022-10-13,1406.25,-15769.14,-14218.62,7488.75
2022-10-20,112.5,-15769.14,-14218.62,7488.75
2022-10-27,1878.75,-15769.14,-14218.62,7488.75
2022-11-03,1181.25,-15769.14,-14218.62,7488.75
2022-11-10,1230.0,-15769.14,-14218.62,7488.75
2022-11-17,-551.25,-15769.14,-14218.62,7488.75
2022-11-24,-4976.25,-15769.14,-14218.62,7488.75
2022-12-01,2197.5,-15769.14,-14218.62,7488.75
2022-12-08,2396.25,-15769.14,-14218.62,7488.75
2022-12-15,558.75,-15769.14,-14218.62,7488.75
2022-12-22,993.75,-15769.14,-14218.62,7488.75
2022-12-29,-3090.0,-15769.14,-14218.62,7488.75
2023-01-05,1942.5,-15769.14,-14218.62,7488.75
2023-01-12,761.25,-15769.14,-14218.62,7488.75
2023-01-19,3457.5,-15769.14,-14218.62,7488.75
2023-01-25,3348.75,-15769.14,-14218.62,7488.75
2023-02-02,3341.25,-15769.14,-14218.62,7488.75
2023-02-09,-442.5,-15769.14,-14218.62,7488.75
2023-02-16,-165.0,-15769.14,-14218.62,7488.75
2023-02-23,1125.0,-15769.14,-14218.62,7488.75
2023-03-02,1012.5,-15769.14,-14218.62,7488.75
2023-03-09,-356.25,-15769.14,-14218.62,7488.75
2023-03-16,1713.75,-15769.14,-14218.62,7488.75
2023-03-23,558.75,-15769.14,-14218.62,7488.75
2023-03-29,-363.75,-15769.14,-14218.62,7488.75
2023-04-06,285.0,-15769.14,-14218.62,7488.75
2023-04-13,-11.25,-15769.14,-14218.62,7488.75
2023-04-20,2415.0,-15769.14,-14218.62,7488.75
2023-04-27,-1713.75,-15769.14,-14218.62,7488.75
2023-05-04,-105.0,-15769.14,-14218.62,7488.75
2023-05-11,2460.0,-15769.14,-14218.62,7488.75
2023-05-18,1140.0,-15769.14,-14218.62,7488.75
2023-05-25,-210.0,-15769.14,-14218.62,7488.75
2023-06-01,-877.5,-15769.14,-14218.62,7488.75
2023-06-08,-1758.75,-15769.14,-14218.62,7488.75
2023-06-15,240.0,-15769.14,-14218.62,7488.75
2023-06-22,1818.75,-15769.14,-14218.62,7488.75
2023-06-28,4278.75,-15769.14,-14218.62,7488.75
2023-07-06,1335.0,-15769.14,-14218.62,7488.75
2023-07-13,-1815.0,-15769.14,-14218.62,7488.75
2023-07-20,-727.5,-15769.14,-14218.62,7488.75
2023-07-27,-982.5,-15769.14,-14218.62,7488.75
2023-08-03,3161.25,-15769.14,-14218.62,7488.75
2023-08-10,2703.75,-15769.14,-14218.62,7488.75
2023-08-17,2227.5,-15769.14,-14218.62,7488.75
2023-08-24,-918.75,-15769.14,-14218.62,7488.75
2023-08-31,1755.0,-15769.14,-14218.62,7488.75
2023-09-07,-2891.25,-15769.14,-14218.62,7488.75
2023-09-14,2283.75,-15769.14,-14218.62,7488.75
2023-09-21,1938.75,-15769.14,-14218.62,7488.75
2023-09-28,-873.75,-15769.14,-14218.62,7488.75
2023-10-05,596.25,-15769.14,-14218.62,7488.75
2023-10-12,1920.0,-15769.14,-14218.62,7488.75
2023-10-19,416.25,-15769.14,-14218.62,7488.75
2023-10-26,2283.75,-15769.14,-14218.62,7488.75
2023-11-02,832.5,-15769.14,-14218.62,7488.75
2023-11-09,547.5,-15769.14,-14218.62,7488.75
2023-11-16,-622.5,-15769.14,-14218.62,7488.75
2023-11-23,701.25,-15769.14,-14218.62,7488.75
2023-11-30,-1893.75,-15769.14,-14218.62,7488.75
2023-12-07,1541.25,-15769.14,-14218.62,7488.75
2023-12-14,142.5,-15769.14,-14218.62,7488.75
2023-12-21,4886.25,-15769.14,-14218.62,7488.75
2023-12-28,2392.5,-15769.14,-14218.62,7488.75
2024-01-04,1695.0,-15769.14,-14218.62,7488.75
2024-01-11,-1098.75,-15769.14,-14218.62,7488.75
2024-01-18,2947.5,-15769.14,-14218.62,7488.75
2024-01-25,165.0,-15769.14,-14218.62,7488.75
2024-02-01,4800.0,-15769.14,-14218.62,7488.75
2024-02-08,-2546.25,-15769.14,-14218.62,7488.75
2024-02-15,-701.25,-15769.14,-14218.62,7488.75
2024-02-22,-15795.0,-15769.14,-14218.62,7488.75
2024-02-29,4305.0,-15769.14,-14218.62,7488.75
2024-03-07,3393.75,-15769.14,-14218.62,7488.75
2024-03-14,5141.25,-15769.14,-14218.62,7488.75
2024-03-21,2535.0,-15769.14,-14218.62,7488.75
2024-03-28,-16207.5,-15769.14,-14218.62,7488.75
2024-04-04,3570.0,-15769.14,-14218.62,7488.75
2024-04-10,-870.0,-15769.14,-14218.62,7488.75
2024-04-18,-19616.25,-15769.14,-14218.62,7488.75
2024-04-25,3603.75,-15769.14,-14218.62,7488.75
2024-05-02,5047.5,-15769.14,-14218.62,7488.75
2024-05-09,498.75,-15769.14,-14218.62,7488.75
2024-05-16,-4871.25,-15769.14,-14218.62,7488.75
2024-05-23,-337.5,-15769.14,-14218.62,7488.75
2024-06-13,3397.5,-15769.14,-14218.62,7488.75
2024-06-20,3052.5,-15769.14,-14218.62,7488.75
2024-06-27,3341.25,-15769.14,-14218.62,7488.75
2024-07-04,-412.5,-15769.14,-14218.62,7488.75
2024-07-11,3453.75,-15769.14,-14218.62,7488.75
2024-07-18,146.25,-15769.14,-14218.62,7488.75
2024-07-25,4320.0,-15769.14,-14218.62,7488.75
2024-08-01,3693.75,-15769.14,-14218.62,7488.75
2024-08-08,3592.5,-15769.14,-14218.62,7488.75
2024-08-14,416.25,-15769.14,-14218.62,7488.75
2024-08-22,1128.75,-15769.14,-14218.62,7488.75
2024-08-29,-7413.75,-15769.14,-14218.62,7488.75
2024-09-05,915.0,-15769.14,-14218.62,7488.75
2024-09-12,-15813.75,-15769.14,-14218.62,7488.75
2024-09-19,4275.0,-15769.14,-14218.62,7488.75
2024-09-26,2032.5,-15769.14,-14218.62,7488.75
2024-10-03,1845.0,-15769.14,-14218.62,7488.75
2024-10-10,2156.25,-15769.14,-14218.62,7488.75
2024-10-17,742.5,-15769.14,-14218.62,7488.75
2024-10-24,1863.75,-15769.14,-14218.62,7488.75
2024-10-31,3285.0,-15769.14,-14218.62,7488.75
2024-11-07,2205.0,-15769.14,-14218.62,7488.75
2024-11-14,2006.25,-15769.14,-14218.62,7488.75
2024-11-21,2767.5,-15769.14,-14218.62,7488.75
2024-11-28,3678.75,-15769.14,-14218.62,7488.75
2024-12-05,-16650.0,-15769.14,-14218.62,7488.75
2024-12-12,4173.75,-15769.14,-14218.62,7488.75
2024-12-19,2977.5,-15769.14,-14218.62,7488.75
2024-12-26,1263.75,-15769.14,-14218.62,7488.75
2025-01-02,1653.75,-15769.14,-14218.62,7488.75
2025-01-09,2358.75,-15769.14,-14218.62,7488.75
2025-01-16,1511.25,-15769.14,-14218.62,7488.75
2025-01-23,-60.0,-15769.14,-14218.62,7488.75
2025-01-30,2602.5,-15769.14,-14218.62,7488.75
2025-02-06,3408.75,-15769.14,-14218.62,7488.75
2025-02-13,-1586.25,-15769.14,-14218.62,7488.75
2025-02-20,2103.75,-15769.14,-14218.62,7488.75
2025-02-27,1233.75,-15769.14,-14218.62,7488.75
2025-03-06,-847.5,-15769.14,-14218.62,7488.75
2025-03-13,292.5,-15769.14,-14218.62,7488.75
2025-03-20,-386.25,-15769.14,-14218.62,7488.75
2025-03-27,1788.75,-15769.14,-14218.62,7488.75
2025-04-03,1098.75,-15769.14,-14218.62,7488.75
2025-04-09,1785.0,-15769.14,-14218.62,7488.75
2025-04-17,630.0,-15769.14,-14218.62,7488.75
